TestRunStatus,ExecutionDate,Document Key,Name,Assigned To
PASSED,2024-04-18,KCE-TSTRN-3550783,Node Supervision - Fault code 1812,Vivek
PASSED,2024-04-09,KCE-TSTRN-3550781,1. RAD - KCEFOB Node detection,VIGNESHWARAR
PASSED,2024-04-15,KCE-TSTRN-3550785,3. RAD - Fault activation at machine room - Covered by TA,VIGNESHWARAR
PASSED,2024-04-17,KCE-TSTRN-3550784,4. RAD - Fault activation at pit - Covered by TA,Suryanarayanan
PASSED,2024-04-22,KCE-TSTRN-3550782,Basic rush test for FOB with L4 ,Vivek
PASSED,2024-04-03,KCE-TSTRN-3553155,Yaskawa - 7 speed - Open Loop,Suryanarayanan
PASSED,2024-04-30,KCE-TSTRN-3559380,Yaskawa - 7 speed - Open Loop,Suryanarayanan
PASSED,2024-09-10,KCE-TSTRN-3573495,Yaskawa - 7 speed - Open Loop,Badaganti Sai Prasad
FAILED,2024-04-04,KCE-TSTRN-3553153,EBD A with Selcom device - Emergency Battery Drive - Automatic - Basic - Yaskawa,Suryanarayanan
PASSED,2024-05-02,KCE-TSTRN-3559378,EBD A with Selcom device - Emergency Battery Drive - Automatic - Basic - Yaskawa,Suryanarayanan
PASSED,2024-09-10,KCE-TSTRN-3573493,EBD A with Selcom device - Emergency Battery Drive - Automatic - Basic - Yaskawa,Badaganti Sai Prasad
PASSED,2024-03-07,KCE-TSTRN-3508938,KCEPDX - Automatic brake test - With dual breaks,ARUN KUMAR
FAILED,2024-03-07,KCE-TSTRN-3508939,KCEPDX - Load Weighting,ARUN KUMAR
PASSED,2024-03-07,KCE-TSTRN-3508942,KCEPDX - TTS network,ARUN KUMAR
PASSED,2024-03-08,KCE-TSTRN-3508944,KCEPDX - Manual brake test,ARUN KUMAR
INPROGRESS,2024-03-08,KCE-TSTRN-3508943,KCEPDX - Short floor distance,ARUN KUMAR
PASSED,2024-02-14,KCE-TSTRN-3508940,KCEPDX - Inspection Drive,Priyavalli
PASSED,2024-02-15,KCE-TSTRN-3508941,KCEPDX - Brake disconnections,ARUN KUMAR
INPROGRESS,2024-01-08,KCE-TSTRN-3509026,9.EPS G Duplex lifts while returning during EPD operation,Vivek
PASSED,2024-01-19,KCE-TSTRN-3509453,9.EPS G Duplex lifts while returning during EPD operation,Vivek
